IP,id,id2,counter,core_temp,ADC1,ADC2,ADC3,battery
fd00::212:4b00:615:aaee,171,0,100,22858,2312,0,1488,3275
fd00::212:4b00:615:ab05,171,0,80,32380,2284,0,1460,3249
fd00::212:4b00:615:aa72,171,0,120,26428,2280,0,1452,3269
fd00::212:4b00:616:f3d,171,0,73,32619,2324,0,1492,3261
fd00::212:4b00:616:ff3,171,0,69,35000,2276,0,1456,3171
fd00::212:4b00:615:aaee,171,0,101,22858,2320,0,1488,3275
fd00::212:4b00:615:ab05,171,0,81,32619,2292,0,1460,3250
fd00::212:4b00:615:aa72,171,0,121,26428,2280,0,1452,3272
fd00::212:4b00:616:f3d,171,0,74,32380,2324,0,1492,3261
fd00::212:4b00:616:ff3,171,0,70,35238,2276,0,1456,3173
fd00::212:4b00:615:aaee,171,0,102,22620,2312,0,1488,3273
fd00::212:4b00:615:ab05,171,0,82,32619,2288,0,1460,3249
fd00::212:4b00:615:aa72,171,0,122,26428,2280,0,1452,3273
fd00::212:4b00:616:f3d,171,0,75,32380,2324,0,1492,3259
fd00::212:4b00:616:ff3,171,0,71,35000,2280,0,1456,3171
fd00::212:4b00:615:aaee,171,0,103,22620,2312,0,1488,3273
fd00::212:4b00:615:ab05,171,0,83,32380,2288,0,1460,3249
fd00::212:4b00:615:aa72,171,0,123,26428,2280,0,1452,3272
fd00::212:4b00:616:f3d,171,0,76,32142,2328,0,1492,3260
fd00::212:4b00:616:ff3,171,0,72,35000,2276,0,1460,3171
fd00::212:4b00:615:aaee,171,0,104,22858,2312,0,1492,3275
fd00::212:4b00:615:ab05,171,0,84,32857,2284,0,1460,3250
fd00::212:4b00:615:aa72,171,0,124,26190,2280,0,1452,3270
fd00::212:4b00:616:f3d,171,0,77,32380,2320,0,1492,3261
fd00::212:4b00:616:ff3,171,0,73,35000,2280,0,1460,3171
fd00::212:4b00:615:aaee,171,0,105,22858,2316,0,1492,3276
fd00::212:4b00:615:ab05,171,0,85,32380,2284,0,1460,3249
fd00::212:4b00:615:aa72,171,0,125,26666,2284,0,1452,3272
fd00::212:4b00:616:f3d,171,0,78,32380,2324,0,1492,3259
fd00::212:4b00:616:ff3,171,0,74,34761,2276,0,1460,3172
fd00::212:4b00:615:aaee,171,0,106,22858,2316,0,1488,3276
fd00::212:4b00:615:ab05,171,0,86,32619,2288,0,1456,3252
fd00::212:4b00:615:aa72,171,0,126,26904,2280,0,1452,3271
fd00::212:4b00:616:f3d,171,0,79,32857,2324,0,1492,3260
fd00::212:4b00:616:ff3,171,0,75,34761,2276,0,1460,3171
fd00::212:4b00:615:aaee,171,0,107,22620,2316,0,1488,3273
fd00::212:4b00:615:ab05,171,0,87,32380,2284,0,1460,3249
fd00::212:4b00:615:aa72,171,0,127,26666,2284,0,1456,3270
fd00::212:4b00:616:f3d,171,0,80,32380,2324,0,1496,3259
fd00::212:4b00:616:ff3,171,0,76,34761,2276,0,1456,3171
fd00::212:4b00:615:aaee,171,0,108,22858,2312,0,1488,3274
fd00::212:4b00:615:ab05,171,0,88,32380,2288,0,1460,3249
fd00::212:4b00:615:aa72,171,0,128,26666,2280,0,1452,3270
fd00::212:4b00:616:f3d,171,0,81,32619,2324,0,1496,3260
fd00::212:4b00:616:ff3,171,0,77,34761,2280,0,1456,3171
fd00::212:4b00:615:aaee,171,0,109,22620,2316,0,1488,3273
fd00::212:4b00:615:ab05,171,0,89,32380,2284,0,1460,3248
fd00::212:4b00:615:aa72,171,0,129,26904,2284,0,1452,3269
fd00::212:4b00:616:f3d,171,0,82,32619,2324,0,1496,3260
fd00::212:4b00:616:ff3,171,0,78,35000,2276,0,1456,3170
fd00::212:4b00:615:aaee,171,0,110,23096,2312,0,1488,3276
fd00::212:4b00:615:ab05,171,0,90,32619,2288,0,1456,3250
fd00::212:4b00:615:aa72,171,0,130,26428,2276,0,1456,3269
fd00::212:4b00:616:f3d,171,0,83,32380,2320,0,1496,3259
fd00::212:4b00:616:ff3,171,0,79,35000,2276,0,1460,3171
fd00::212:4b00:615:aaee,171,0,111,22620,2316,0,1492,3273
fd00::212:4b00:615:ab05,171,0,91,32619,2288,0,1460,3251
fd00::212:4b00:615:aa72,171,0,131,26428,2280,0,1452,3270
fd00::212:4b00:616:f3d,171,0,84,32857,2320,0,1496,3260
fd00::212:4b00:616:ff3,171,0,80,35000,2280,0,1460,3169
fd00::212:4b00:615:aaee,171,0,112,22858,2316,0,1488,3274
fd00::212:4b00:615:ab05,171,0,92,32857,2288,0,1460,3252
fd00::212:4b00:615:aa72,171,0,132,26904,2280,0,1452,3273
fd00::212:4b00:616:f3d,171,0,85,32380,2324,0,1492,3260
fd00::212:4b00:616:ff3,171,0,81,35000,2280,0,1460,3169
fd00::212:4b00:615:aaee,171,0,113,23096,2316,0,1488,3273
fd00::212:4b00:615:ab05,171,0,93,32380,2284,0,1460,3249
fd00::212:4b00:615:aa72,171,0,133,26190,2280,0,1456,3269
fd00::212:4b00:616:f3d,171,0,86,32857,2324,0,1492,3262
fd00::212:4b00:616:ff3,171,0,82,35000,2276,0,1460,3169
fd00::212:4b00:615:aaee,171,0,114,22620,2312,0,1492,3273
fd00::212:4b00:615:ab05,171,0,94,32619,2292,0,1460,3252
fd00::212:4b00:615:aa72,171,0,134,26190,2284,0,1456,3268
fd00::212:4b00:616:f3d,171,0,87,32380,2324,0,1496,3260
fd00::212:4b00:616:ff3,171,0,83,35000,2280,0,1456,3168
fd00::212:4b00:615:aaee,171,0,115,23096,2312,0,1488,3274
fd00::212:4b00:615:ab05,171,0,95,32619,2288,0,1460,3251
fd00::212:4b00:615:aa72,171,0,135,26190,2280,0,1456,3271
fd00::212:4b00:616:f3d,171,0,88,32142,2324,0,1496,3258
fd00::212:4b00:616:ff3,171,0,84,35238,2280,0,1456,3171
fd00::212:4b00:615:aaee,171,0,116,22620,2312,0,1488,3273
fd00::212:4b00:615:ab05,171,0,96,32619,2288,0,1460,3250
fd00::212:4b00:615:aa72,171,0,136,25952,2284,0,1456,3271
fd00::212:4b00:616:f3d,171,0,89,32380,2328,0,1496,3259
fd00::212:4b00:616:ff3,171,0,85,35000,2272,0,1456,3170
fd00::212:4b00:615:aaee,171,0,117,23096,2312,0,1488,3275
fd00::212:4b00:615:ab05,171,0,97,32619,2288,0,1460,3250
fd00::212:4b00:615:aa72,171,0,137,25952,2280,0,1452,3270
fd00::212:4b00:616:f3d,171,0,90,32380,2324,0,1496,3262
fd00::212:4b00:616:ff3,171,0,86,35000,2276,0,1456,3171
fd00::212:4b00:615:aaee,171,0,118,22620,2312,0,1488,3273
fd00::212:4b00:615:ab05,171,0,98,32619,2288,0,1460,3249
fd00::212:4b00:615:aa72,171,0,138,25952,2280,0,1456,3269
fd00::212:4b00:616:f3d,171,0,91,32619,2324,0,1496,3262
fd00::212:4b00:616:ff3,171,0,87,35000,2280,0,1456,3170
fd00::212:4b00:615:aaee,171,0,119,22620,2312,0,1488,3273
fd00::212:4b00:615:ab05,171,0,99,32619,2284,0,1460,3250
fd00::212:4b00:615:aa72,171,0,139,25952,2280,0,1452,3269
fd00::212:4b00:616:f3d,171,0,92,32619,2320,0,1492,3262
fd00::212:4b00:616:ff3,171,0,88,35000,2280,0,1456,3169
fd00::212:4b00:615:aaee,171,0,120,22620,2312,0,1492,3274
fd00::212:4b00:615:ab05,171,0,100,32380,2288,0,1460,3249
fd00::212:4b00:615:aa72,171,0,140,25952,2284,0,1452,3270
fd00::212:4b00:616:f3d,171,0,93,32380,2328,0,1492,3260
fd00::212:4b00:616:ff3,171,0,89,35000,2280,0,1460,3169
fd00::212:4b00:615:aaee,171,0,121,22858,2312,0,1488,3275
fd00::212:4b00:615:aa72,171,0,141,26666,2284,0,1452,3272
fd00::212:4b00:615:ab05,171,0,101,32619,2284,0,1460,3251
fd00::212:4b00:616:f3d,171,0,94,32857,2324,0,1492,3262
fd00::212:4b00:616:ff3,171,0,90,35000,2276,0,1460,3169
fd00::212:4b00:615:aa72,171,0,142,25952,2276,0,1452,3269
fd00::212:4b00:615:aaee,171,0,122,22858,2312,0,1488,3276
fd00::212:4b00:615:ab05,171,0,102,32380,2284,0,1460,3249
fd00::212:4b00:616:f3d,171,0,95,32857,2324,0,1496,3260
fd00::212:4b00:616:ff3,171,0,91,35000,2276,0,1460,3170
fd00::212:4b00:615:aa72,171,0,143,26428,2284,0,1456,3270
fd00::212:4b00:615:ab05,171,0,103,32380,2288,0,1460,3249
