IP,id,id2,counter,core_temp,ADC1,ADC2,ADC3,battery
fd00::212:4b00:615:aaee,171,0,151,24762,17460,0,1492,3229
fd00::212:4b00:615:aaee,171,0,152,24762,17448,0,1492,3231
fd00::212:4b00:615:aaee,171,0,153,24762,17444,0,1492,3235
fd00::212:4b00:615:aaee,171,0,154,24762,17440,0,1488,3235
fd00::212:4b00:615:aaee,171,0,155,24524,17444,0,1492,3233
fd00::212:4b00:615:aaee,171,0,156,24762,17436,0,1488,3235
fd00::212:4b00:615:aaee,171,0,157,25000,17440,0,1492,3236
fd00::212:4b00:615:aaee,171,0,158,25000,17436,0,1492,3235
fd00::212:4b00:615:aaee,171,0,159,25000,17428,0,1492,3235
fd00::212:4b00:615:aaee,171,0,160,25000,17428,0,1492,3234
fd00::212:4b00:615:aaee,171,0,161,25000,17428,0,1492,3236
fd00::212:4b00:615:aaee,171,0,162,24524,17432,0,1492,3234
fd00::212:4b00:615:aaee,171,0,163,25000,17432,0,1492,3236
fd00::212:4b00:615:aaee,171,0,164,24762,17436,0,1488,3234
fd00::212:4b00:615:aaee,171,0,165,24524,17432,0,1492,3233
fd00::212:4b00:615:aaee,171,0,166,24762,17428,0,1492,3235
fd00::212:4b00:615:aaee,171,0,167,24762,17428,0,1492,3235
fd00::212:4b00:615:aaee,171,0,168,24762,17432,0,1492,3236
fd00::212:4b00:615:aaee,171,0,169,24524,17432,0,1492,3233
fd00::212:4b00:615:aaee,171,0,170,24762,17436,0,1492,3234
fd00::212:4b00:615:aaee,171,0,171,24524,17432,0,1492,3233
fd00::212:4b00:615:aaee,171,0,172,25000,17432,0,1492,3235
fd00::212:4b00:615:aaee,171,0,173,24762,17436,0,1492,3233
fd00::212:4b00:615:aaee,171,0,174,24762,17428,0,1492,3233
fd00::212:4b00:615:aaee,171,0,175,25000,17424,0,1496,3232
fd00::212:4b00:615:aaee,171,0,176,24524,17508,0,1492,3218
fd00::212:4b00:615:aaee,171,0,177,24524,17472,0,1492,3225
fd00::212:4b00:615:aaee,171,0,178,23810,17472,0,1492,3225
fd00::212:4b00:615:aaee,171,0,179,24048,17468,0,1488,3227
fd00::212:4b00:615:aaee,171,0,180,23810,17464,0,1488,3225
fd00::212:4b00:615:aaee,171,0,181,23572,17460,0,1492,3226
fd00::212:4b00:615:aaee,171,0,182,23572,17464,0,1492,3225
fd00::212:4b00:615:aaee,171,0,183,23572,17460,0,1492,3228
fd00::212:4b00:615:aaee,171,0,184,23572,17460,0,1492,3229
fd00::212:4b00:615:aaee,171,0,185,23572,17468,0,1488,3228
fd00::212:4b00:615:aaee,171,0,186,23334,17464,0,1488,3225
fd00::212:4b00:615:aaee,171,0,187,23572,17460,0,1492,3228
fd00::212:4b00:615:aaee,171,0,188,23810,17460,0,1492,3228
fd00::212:4b00:615:aaee,171,0,189,23572,17460,0,1492,3226
fd00::212:4b00:615:aaee,171,0,190,23572,17456,0,1492,3226
fd00::212:4b00:615:aaee,171,0,191,23572,17452,0,1492,3225
fd00::212:4b00:615:aaee,171,0,192,23334,17456,0,1492,3226
fd00::212:4b00:615:aaee,171,0,193,23096,17456,0,1492,3225
fd00::212:4b00:615:aaee,171,0,194,23572,17460,0,1492,3228
fd00::212:4b00:615:aaee,171,0,195,23334,17460,0,1488,3225
fd00::212:4b00:615:aaee,171,0,196,23096,17456,0,1492,3225
fd00::212:4b00:615:aaee,171,0,197,23334,17456,0,1492,3226
fd00::212:4b00:615:aaee,171,0,198,23334,17456,0,1492,3227
fd00::212:4b00:615:aaee,171,0,199,23096,17452,0,1492,3225
fd00::212:4b00:615:aaee,171,0,200,23334,17460,0,1492,3226
fd00::212:4b00:615:aaee,171,0,201,23334,17460,0,1488,3225
fd00::212:4b00:615:aaee,171,0,202,23096,17460,0,1492,3225
fd00::212:4b00:615:aaee,171,0,203,23572,17460,0,1492,3225
fd00::212:4b00:615:aaee,171,0,204,23334,17456,0,1492,3224
